ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Mayer L.,Copil M.,63,80,850,698,6,3,6,7,7,5,,,,,2,1,Completed,1.28,3.5,1.27,4.14,1.34,4.14,1.3,3.5
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Fucsovics M.,Kudla D.,36,82,1205,663,6,4,6,1,,,,,,,2,0,Completed,1.16,5,1.19,5.27,1.21,5.27,1.18,4.75
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Mcdonald M.,Daniel T.,61,71,871,769,6,2,6,2,,,,,,,2,0,Completed,3.4,1.3,3.75,1.31,3.75,1.34,3.44,1.31
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Struff J.L.,Dellien H.,51,92,945,631,6,3,6,1,,,,,,,2,0,Completed,1.44,2.62,1.57,2.55,1.57,2.89,1.51,2.55
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Sousa P.,57,107,895,558,2,6,6,4,6,0,,,,,2,1,Completed,1.28,3.5,1.33,3.62,1.34,3.86,1.29,3.53
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Fritz T.,Opelka R.,58,59,890,886,6,3,6,4,,,,,,,2,0,Completed,1.72,2,1.76,2.16,1.8,2.38,1.73,2.09
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Verdasco F.,Lopez F.,37,93,1155,630,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.75,1.54,2.75,1.49,2.61
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Jarry N.,Granollers M.,81,110,675,549,7,5,4,6,6,4,,,,,2,1,Completed,1.83,1.83,1.93,1.95,1.92,2.02,1.85,1.93
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Schwartzman D.,Nishioka Y.,25,70,1485,772,4,6,6,4,6,2,,,,,2,1,Completed,1.25,3.75,1.25,4.31,1.29,4.4,1.25,3.95
24,Barcelona,Open Banco Sabadell ,22/04/2019,ATP500,Outdoor,Clay,1st Round,3,Paire B.,Londero J.I.,46,79,993,699,7,5,6,2,,,,,,,2,0,Completed,1.5,2.5,1.6,2.47,1.62,2.65,1.54,2.46
24,Barcelona,Open Banco Sabadell ,23/04/2019,ATP500,Outdoor,Clay,1st Round,3,Kuhn N.,Delbonis F.,276,76,152,741,7,6,4,6,6,2,,,,,2,1,Completed,4.5,1.18,5.88,1.16,5.9,1.2,5.15,1.16
