ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Berrettini M.,24,54,1605,932,6,1,6,4,,,,,,,2,0,Completed,1.3,3.4,1.34,3.5,1.53,3.6,1.35,3.23
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Haase R.,43,50,1022,965,6,7,6,4,7,6,,,,,2,1,Completed,2.1,1.66,2.07,1.83,2.17,1.87,2.05,1.77
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Lorenzi P.,28,109,1410,525,6,3,6,4,,,,,,,2,0,Completed,1.22,4,1.23,4.62,1.3,4.7,1.24,4.07
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Kohlschreiber P.,71,34,715,1125,6,4,7,6,,,,,,,2,0,Completed,2.62,1.44,2.86,1.47,2.86,2.02,2.44,1.59
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Ramos-Vinolas A.,21,65,1795,790,6,1,1,6,6,1,,,,,2,1,Completed,1.4,2.75,1.49,2.81,1.5,3.03,1.45,2.75
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Seppi A.,68,37,760,1106,7,5,6,1,,,,,,,2,0,Completed,1.5,2.5,1.48,2.83,1.57,2.83,1.5,2.59
2,Doha,Qatar Exxon Mobil Open,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Gojowczyk P.,74,59,706,855,6,1,6,4,,,,,,,2,0,Completed,1.9,1.8,2.2,1.74,2.23,1.82,2.09,1.74
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Goffin D.,116,22,507,1785,3,6,6,4,7,6,,,,,2,1,Completed,3.4,1.3,3.3,1.38,3.6,1.38,3.32,1.33
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Ilkel C.,58,249,860,183,7,6,6,3,,,,,,,2,0,Completed,1.18,4.5,1.23,4.68,1.24,4.8,1.2,4.49
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Stakhovsky S.,20,134,1819,424,6,4,6,2,,,,,,,2,0,Completed,2,1.72,2.33,1.67,2.35,1.78,2.18,1.68
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Mannarino A.,48,42,985,1045,6,3,7,6,,,,,,,2,0,Completed,1.66,2.1,1.78,2.15,1.8,2.2,1.72,2.11
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Zayid M.S.,105,N/A,543,N/A,6,1,6,3,,,,,,,2,0,Completed,1.01,26,1.02,18.93,1.04,29.21,1.02,17.2
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Wawrinka S.,Khachanov K.,66,11,785,2835,7,6,6,4,,,,,,,2,0,Completed,2.75,1.4,3.09,1.42,3.41,1.47,2.89,1.41
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Copil M.,36,60,1122,823,6,3,6,2,,,,,,,2,0,Completed,1.61,2.2,1.69,2.28,1.71,2.35,1.64,2.26
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Dzumhur D.,1,47,9045,985,6,1,6,2,,,,,,,2,0,Completed,1.05,11,1.03,17.38,1.05,18.75,1.03,12.85
2,Doha,Qatar Exxon Mobil Open,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Thiem D.,55,8,903,4095,6,3,7,5,,,,,,,2,0,Completed,3.75,1.25,4.06,1.28,4.2,1.33,3.77,1.27
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Lajovic D.,Berankis R.,48,116,985,507,7,6,0,6,7,5,,,,,2,1,Completed,1.66,2.1,1.75,2.2,1.8,2.27,1.72,2.12
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Garcia-Lopez G.,24,105,1605,543,6,1,6,4,,,,,,,2,0,Completed,1.22,4,1.24,4.65,1.29,4.7,1.23,4.2
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Jarry N.,66,43,785,1022,6,4,7,6,,,,,,,2,0,Completed,1.36,3,1.38,3.32,1.41,3.44,1.37,3.1
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Fucsovics M.,1,36,9045,1122,4,6,6,4,6,1,,,,,2,1,Completed,1.04,13,1.04,17.09,1.06,17.5,1.03,12.51
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Cecchinato M.,Pella G.,20,58,1819,860,,,,,,,,,,,,,Walkover,2,1.72,2.07,1.85,2.12,1.87,2.03,1.78
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Marterer M.,55,74,903,706,6,3,6,7,7,6,,,,,2,1,Completed,1.72,2,1.71,2.27,1.78,2.28,1.69,2.17
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Basilashvili N.,Rublev A.,21,68,1795,760,6,3,6,4,,,,,,,2,0,Completed,2,1.72,2.09,1.83,2.1,2,2,1.81
2,Doha,Qatar Exxon Mobil Open,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Verdasco F.,71,28,715,1410,4,6,6,3,7,5,,,,,2,1,Completed,1.66,2.1,1.74,2.23,1.83,2.32,1.71,2.14
2,Doha,Qatar Exxon Mobil Open,03/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Wawrinka S.,24,66,1605,785,6,4,6,4,,,,,,,2,0,Completed,2.1,1.72,2.12,1.83,2.21,1.88,2.1,1.75
2,Doha,Qatar Exxon Mobil Open,03/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Basilashvili N.,1,21,9045,1795,4,6,6,3,6,4,,,,,2,1,Completed,1.06,10,1.09,9.69,1.1,10.45,1.07,8.78
2,Doha,Qatar Exxon Mobil Open,03/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Herbert P.H.,71,55,715,903,6,2,6,4,,,,,,,2,0,Completed,1.53,2.5,1.49,2.87,1.53,2.87,1.49,2.67
2,Doha,Qatar Exxon Mobil Open,03/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Cecchinato M.,Lajovic D.,20,48,1819,985,7,6,6,2,,,,,,,2,0,Completed,2.62,1.5,2.63,1.56,2.7,1.61,2.53,1.53
2,Doha,Qatar Exxon Mobil Open,04/01/2019,ATP250,Outdoor,Hard,Semifinals,3,Bautista Agut R.,Djokovic N.,24,1,1605,9045,3,6,7,6,6,4,,,,,2,1,Completed,5,1.16,5.22,1.21,5.4,1.21,4.95,1.18
2,Doha,Qatar Exxon Mobil Open,04/01/2019,ATP250,Outdoor,Hard,Semifinals,3,Berdych T.,Cecchinato M.,71,20,715,1819,7,6,6,3,,,,,,,2,0,Completed,1.44,2.75,1.5,2.83,1.56,3.03,1.45,2.78
2,Doha,Qatar Exxon Mobil Open,05/01/2019,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Berdych T.,24,71,1605,715,6,4,3,6,6,3,,,,,2,1,Completed,1.57,2.37,1.6,2.55,1.65,2.55,1.6,2.37
