ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
15,Dubai ,Dubai Tennis Championships,24/02/2020,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Kukushkin M.,17,89,2040,661,7,6,6,1,,,,,,,2,0,Completed,1.36,3,1.39,3.23,1.43,3.52,1.36,3.08
15,Dubai ,Dubai Tennis Championships,24/02/2020,ATP500,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Safwat M.,80,132,704,407,4,6,6,4,6,0,,,,,2,1,Completed,1.25,3.75,1.29,3.92,1.32,4.12,1.26,3.74
15,Dubai ,Dubai Tennis Championships,24/02/2020,ATP500,Outdoor,Hard,1st Round,3,Rublev A.,Musetti L.,14,311,2219,129,6,4,6,4,,,,,,,2,0,Completed,1.11,6.5,1.11,7.97,1.12,8,1.1,6.88
15,Dubai ,Dubai Tennis Championships,24/02/2020,ATP500,Outdoor,Hard,1st Round,3,Gasquet R.,Harris L.,56,93,915,641,7,6,6,4,,,,,,,2,0,Completed,1.72,2,1.88,2.01,1.91,2.2,1.79,2.01
15,Dubai ,Dubai Tennis Championships,24/02/2020,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Jaziri M.,1,260,9720,181,6,1,6,2,,,,,,,2,0,Completed,1,51,1.01,28.6,1.02,51,1.01,21.87
15,Dubai ,Dubai Tennis Championships,24/02/2020,ATP500,Outdoor,Hard,1st Round,3,Monfils G.,Fucsovics M.,9,70,2860,762,6,4,7,5,,,,,,,2,0,Completed,1.36,3,1.36,3.38,1.39,3.38,1.34,3.18
15,Dubai ,Dubai Tennis Championships,25/02/2020,ATP500,Outdoor,Hard,1st Round,3,Paire B.,Cilic M.,21,36,1738,1225,2,6,7,5,7,6,,,,,2,1,Completed,2.62,1.44,2.77,1.5,2.77,1.54,2.6,1.49
15,Dubai ,Dubai Tennis Championships,25/02/2020,ATP500,Outdoor,Hard,1st Round,3,Novak D.,Gunneswaran P.,96,134,621,405,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.41,3.1,1.45,3.1,1.4,2.92
15,Dubai ,Dubai Tennis Championships,25/02/2020,ATP500,Outdoor,Hard,1st Round,3,Uchiyama Y.,Lu Y.H.,99,962,604,10,3,6,6,1,6,2,,,,,2,1,Completed,1.18,4.5,1.21,4.95,1.21,5.25,1.18,4.76
15,Dubai ,Dubai Tennis Championships,25/02/2020,ATP500,Outdoor,Hard,1st Round,3,Krajinovic F.,Sousa J.,33,68,1318,776,4,6,6,3,6,3,,,,,2,1,Completed,1.2,4.33,1.23,4.63,1.24,4.75,1.21,4.34
