ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
10,Rotterdam,ABN AMRO World Tennis Tournament,01/03/2021,ATP500,Indoor,Hard,1st Round,3,Norrie C.,Basilashvili N.,65,40,1015,1405,6,0,6,3,,,,,,,2,0,Completed,1.18,4.5,1.18,5.47,1.24,5.75,1.18,4.88
10,Rotterdam,ABN AMRO World Tennis Tournament,01/03/2021,ATP500,Indoor,Hard,1st Round,3,Nishikori K.,Auger-Aliassime F.,45,19,1355,2516,7,6,6,1,,,,,,,2,0,Completed,3.4,1.33,3.35,1.37,3.47,1.4,3.14,1.35
10,Rotterdam,ABN AMRO World Tennis Tournament,01/03/2021,ATP500,Indoor,Hard,1st Round,3,Murray A.,Haase R.,123,193,595,366,2,6,7,6,6,3,,,,,2,1,Completed,1.44,2.75,1.39,3.21,1.45,3.25,1.4,2.93
10,Rotterdam,ABN AMRO World Tennis Tournament,01/03/2021,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Opelka R.,59,38,1072,1457,7,6,6,7,7,6,,,,,2,1,Completed,1.61,2.3,1.6,2.48,1.73,2.5,1.62,2.28
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Millman J.,23,39,2155,1421,6,1,6,4,,,,,,,2,0,Completed,1.16,5,1.24,4.55,1.25,5.3,1.2,4.53
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,Rublev A.,Giron M.,8,80,4609,889,7,6,6,3,,,,,,,2,0,Completed,1.12,6,1.13,7.09,1.13,9,1.1,7.01
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,Hurkacz H.,Mannarino A.,30,36,1735,1641,6,3,7,6,,,,,,,2,0,Completed,1.8,2,1.83,2.07,1.95,2.19,1.8,2.01
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,Khachanov K.,Wawrinka S.,21,20,2290,2365,6,4,7,5,,,,,,,2,0,Completed,1.8,2,1.84,2.06,1.9,2.1,1.81,1.99
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,Chardy J.,Humbert U.,64,31,1020,1726,4,6,7,6,7,6,,,,,2,1,Completed,2.75,1.44,2.65,1.53,2.81,1.56,2.62,1.49
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,Tsitsipas S.,Gerasimov E.,6,76,6595,936,7,6,7,5,,,,,,,2,0,Completed,1.2,4.5,1.19,5.32,1.22,5.75,1.18,4.88
10,Rotterdam,ABN AMRO World Tennis Tournament,02/03/2021,ATP500,Indoor,Hard,1st Round,3,Coric B.,Van De Zandschulp B.,26,147,1890,489,6,4,7,6,,,,,,,2,0,Completed,1.33,3.4,1.42,3.1,1.43,3.45,1.35,3.15
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,1st Round,3,Bublik A.,Zverev A.,43,7,1385,5615,7,5,6,3,,,,,,,2,0,Completed,5,1.16,5.53,1.18,5.75,1.19,5.08,1.16
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,1st Round,3,Paul T.,Sonego L.,56,35,1080,1648,6,4,7,6,,,,,,,2,0,Completed,2.37,1.57,2.27,1.69,2.4,1.77,2.26,1.63
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,1st Round,3,Lajovic D.,Medvedev D.,27,3,1875,9735,7,6,6,4,,,,,,,2,0,Completed,8,1.08,7.36,1.12,8.6,1.13,7.35,1.09
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Struff J.L.,14,37,2760,1495,6,4,6,0,,,,,,,2,0,Completed,1.57,2.37,1.65,2.37,1.68,2.5,1.6,2.32
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,1st Round,3,Davidovich Fokina A.,Bautista Agut R.,51,13,1111,2770,6,2,7,6,,,,,,,2,0,Completed,3.2,1.36,3.09,1.42,3.3,1.42,3.14,1.36
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,2nd Round,3,Nishikori K.,De Minaur A.,45,23,1355,2155,6,3,2,6,7,5,,,,,2,1,Completed,3.4,1.33,3.14,1.42,3.5,1.42,3.21,1.34
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,2nd Round,3,Rublev A.,Murray A.,8,123,4609,595,7,5,6,2,,,,,,,2,0,Completed,1.12,6,1.17,5.79,1.18,6.7,1.14,5.68
10,Rotterdam,ABN AMRO World Tennis Tournament,03/03/2021,ATP500,Indoor,Hard,2nd Round,3,Khachanov K.,Norrie C.,21,65,2290,1015,6,2,6,2,,,,,,,2,0,Completed,1.53,2.5,1.54,2.67,1.54,2.95,1.47,2.69
10,Rotterdam,ABN AMRO World Tennis Tournament,04/03/2021,ATP500,Indoor,Hard,2nd Round,3,Chardy J.,Goffin D.,64,14,1020,2760,7,6,7,6,,,,,,,2,0,Completed,4,1.25,3.59,1.34,4.04,1.34,3.65,1.28
10,Rotterdam,ABN AMRO World Tennis Tournament,04/03/2021,ATP500,Indoor,Hard,2nd Round,3,Paul T.,Bublik A.,56,43,1080,1385,6,7,6,3,6,1,,,,,2,1,Completed,2,1.8,2.15,1.79,2.17,1.87,2.04,1.78
10,Rotterdam,ABN AMRO World Tennis Tournament,04/03/2021,ATP500,Indoor,Hard,2nd Round,3,Tsitsipas S.,Hurkacz H.,6,30,6595,1735,6,4,4,6,7,5,,,,,2,1,Completed,1.2,4.5,1.23,4.77,1.24,5,1.2,4.53
10,Rotterdam,ABN AMRO World Tennis Tournament,04/03/2021,ATP500,Indoor,Hard,2nd Round,3,Coric B.,Lajovic D.,26,27,1890,1875,6,3,6,2,,,,,,,2,0,Completed,1.53,2.5,1.47,2.93,1.62,2.93,1.51,2.56
10,Rotterdam,ABN AMRO World Tennis Tournament,04/03/2021,ATP500,Indoor,Hard,2nd Round,3,Fucsovics M.,Davidovich Fokina A.,59,51,1072,1111,6,3,6,2,,,,,,,2,0,Completed,1.61,2.3,1.71,2.28,2,2.48,1.66,2.21
10,Rotterdam,ABN AMRO World Tennis Tournament,05/03/2021,ATP500,Indoor,Hard,Quarterfinals,3,Tsitsipas S.,Khachanov K.,6,21,6595,2290,4,6,6,3,7,5,,,,,2,1,Completed,1.36,3.2,1.36,3.48,1.41,3.48,1.37,3.08
10,Rotterdam,ABN AMRO World Tennis Tournament,05/03/2021,ATP500,Indoor,Hard,Quarterfinals,3,Rublev A.,Chardy J.,8,64,4609,1020,7,6,6,7,6,4,,,,,2,1,Completed,1.12,6,1.15,6.55,1.15,7.75,1.13,6.05
10,Rotterdam,ABN AMRO World Tennis Tournament,05/03/2021,ATP500,Indoor,Hard,Quarterfinals,3,Coric B.,Nishikori K.,26,45,1890,1355,7,6,7,6,,,,,,,2,0,Completed,1.66,2.2,1.63,2.43,1.72,2.45,1.62,2.28
10,Rotterdam,ABN AMRO World Tennis Tournament,05/03/2021,ATP500,Indoor,Hard,Quarterfinals,3,Fucsovics M.,Paul T.,59,56,1072,1080,6,4,6,3,,,,,,,2,0,Completed,1.5,2.62,1.49,2.84,1.58,2.84,1.5,2.58
10,Rotterdam,ABN AMRO World Tennis Tournament,06/03/2021,ATP500,Indoor,Hard,Semifinals,3,Rublev A.,Tsitsipas S.,8,6,4609,6595,6,3,7,6,,,,,,,2,0,Completed,2,1.8,2.07,1.85,2.07,1.91,1.97,1.82
10,Rotterdam,ABN AMRO World Tennis Tournament,06/03/2021,ATP500,Indoor,Hard,Semifinals,3,Fucsovics M.,Coric B.,59,26,1072,1890,6,4,6,1,,,,,,,2,0,Completed,2.2,1.66,2.43,1.63,2.43,1.69,2.28,1.62
10,Rotterdam,ABN AMRO World Tennis Tournament,07/03/2021,ATP500,Indoor,Hard,The Final,3,Rublev A.,Fucsovics M.,8,59,4609,1072,7,6,6,4,,,,,,,2,0,Completed,1.25,4,1.29,3.98,1.31,4,1.27,3.75
