ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
48,Winston-Salem,Winston-Salem Open at Wake Forest University,22/08/2021,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Sandgren T.,80,91,911,833,6,4,6,4,,,,,,,2,0,Completed,3.2,1.36,3.35,1.37,3.35,1.42,3.13,1.35
48,Winston-Salem,Winston-Salem Open at Wake Forest University,22/08/2021,ATP250,Outdoor,Hard,1st Round,3,Gerasimov E.,Gombos N.,81,112,910,740,7,6,3,6,6,2,,,,,2,1,Completed,1.53,2.5,1.61,2.44,1.61,2.65,1.55,2.42
48,Winston-Salem,Winston-Salem Open at Wake Forest University,22/08/2021,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Duckworth J.,93,67,829,1004,6,4,4,6,7,6,,,,,2,1,Completed,3.75,1.28,3.81,1.3,3.9,1.34,3.54,1.29
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Kwon S.W.,Albot R.,74,108,949,744,6,2,7,5,,,,,,,2,0,Completed,1.36,3.2,1.4,3.17,1.4,3.25,1.37,3.04
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Ymer M.,Travaglia S.,90,100,843,811,6,2,1,6,6,2,,,,,2,1,Completed,1.72,2.1,1.75,2.19,1.8,2.2,1.72,2.11
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Rubin N.,114,306,730,176,6,2,6,0,,,,,,,2,0,Completed,,,1.13,6.75,1.13,7,1.12,6.83
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Bagnis F.,65,79,1012,913,7,5,6,4,,,,,,,2,0,Completed,1.25,4,1.22,4.77,1.28,4.9,1.21,4.33
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Simon G.,Rinderknech A.,103,78,789,924,7,5,6,3,,,,,,,2,0,Completed,3.4,1.33,3.66,1.32,3.7,1.36,3.33,1.32
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Coria F.,Musetti L.,61,58,1054,1106,6,4,4,6,6,4,,,,,2,1,Completed,3.4,1.33,3.77,1.31,3.77,1.38,3.36,1.32
48,Winston-Salem,Winston-Salem Open at Wake Forest University,23/08/2021,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Pella G.,59,84,1090,879,6,1,1,6,6,3,,,,,2,1,Completed,1.72,2.1,1.79,2.12,1.8,2.25,1.74,2.08
