ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
52,Chengdu,Chengdu Open,20/09/2023,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,95,50,643,947,4,6,6,4,6,2,,,,,2,1,Completed,1.91,1.91,2,1.87,2.01,1.95,1.92,1.86
52,Chengdu,Chengdu Open,20/09/2023,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Nakashima B.,55,81,902,735,6,4,6,4,,,,,,,2,0,Completed,2,1.8,1.91,1.96,2.04,1.96,1.88,1.9
52,Chengdu,Chengdu Open,20/09/2023,ATP250,Outdoor,Hard,1st Round,3,Moutet C.,Mu T.,122,573,499,63,6,2,6,2,,,,,,,2,0,Completed,1.04,13,1.06,11.41,1.06,13,1.05,10.14
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Bergs Z.,52,172,938,354,6,4,1,6,6,3,,,,,2,1,Completed,1.8,2,1.79,2.1,1.82,2.12,1.76,2.04
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Rinderknech A.,Tu L.,67,203,826,306,7,6,7,6,,,,,,,2,0,Completed,,,,,,,,
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Kachmazov A.,53,319,930,168,7,6,6,4,,,,,,,2,0,Completed,1.14,5.5,1.19,5.25,1.19,5.55,1.17,4.95
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Varillas J.P.,Cui J.,70,583,815,60,6,1,6,3,,,,,,,2,0,Completed,1.13,6,1.2,5.03,1.2,6.35,1.16,5.03
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Sekulic P.,Borges N.,325,88,163,694,7,5,5,7,6,3,,,,,2,1,Completed,4.5,1.2,4.93,1.2,4.93,1.23,4.36,1.2
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Purcell M.,56,43,902,1047,6,2,7,6,,,,,,,2,0,Completed,2,1.8,1.98,1.88,2.05,1.9,1.97,1.82
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Bublik A.,64,29,850,1349,7,6,6,3,,,,,,,2,0,Completed,2.2,1.67,,,2.36,1.71,2.2,1.65
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Galan D.E.,106,87,578,699,7,5,7,5,,,,,,,2,0,Completed,1.67,2.2,1.77,2.14,1.8,2.2,1.74,2.07
52,Chengdu,Chengdu Open,21/09/2023,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Lock B.,47,346,985,145,6,2,6,3,,,,,,,2,0,Completed,1.1,7,1.1,8.11,1.12,8.11,1.09,7.13
