ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
13,Doha,Qatar Exxon Mobil Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Sonego L.,64,49.0,859,975.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.22,1.73,2.31,1.73,2.18,1.66
13,Doha,Qatar Exxon Mobil Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Zhang Zh.,Musetti L.,48,26.0,991,1480.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.23,1.72,2.25,1.72,2.19,1.66
13,Doha,Qatar Exxon Mobil Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Bautista Agut R.,80,97.0,732,621.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.81,2.1,1.81,2.12,1.73,2.07
13,Doha,Qatar Exxon Mobil Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Kopriva V.,60,118.0,896,535.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.55,2.61,1.55,2.75,1.48,2.6
13,Doha,Qatar Exxon Mobil Open,19/02/2024,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Shelbayh A.,46,230.0,997,265.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.5,2.63,1.47,2.86,1.5,3.13,1.45,2.69
13,Doha,Qatar Exxon Mobil Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Zeppieri G.,43,133.0,1011,498.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.41,3.12,1.41,3.51,1.36,3.09
13,Doha,Qatar Exxon Mobil Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Mensik J.,Davidovich Fokina A.,116,24.0,536,1575.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.68,1.52,2.75,1.53,2.6,1.48
13,Doha,Qatar Exxon Mobil Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Struff J.L.,65,25.0,854,1531.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.43,1.62,2.43,1.62,2.36,1.57
13,Doha,Qatar Exxon Mobil Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Shevchenko A.,126,45.0,519,1000.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.2,1.36,2.81,1.49,3.2,1.5,2.79,1.43
13,Doha,Qatar Exxon Mobil Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Grenier H.,Marterer M.,151,99.0,417,616.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.8,1.94,1.91,2.01,1.92,1.96,1.82
13,Doha,Qatar Exxon Mobil Open,20/02/2024,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Muller A.,50,75.0,970,773.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.91,1.91,1.89,2.0,1.92,2.0,1.86,1.92
