ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,Queens Club,Queen's Club Championships,17/06/2024,ATP500,Outdoor,Grass,1st Round,3,Dimitrov G.,Mannarino A.,10,21,3775,1845,6,1,6,2,,,,,,,2,0,Completed,1.17,5,1.21,4.93,1.21,5.25,1.18,4.7
36,Queens Club,Queen's Club Championships,17/06/2024,ATP500,Outdoor,Grass,1st Round,3,Hijikata R.,Tiafoe F.,98,28,622,1390,7,5,4,6,1,0,,,,,1,1,Retired,3.4,1.33,3.24,1.39,3.65,1.39,3.34,1.32
36,Queens Club,Queen's Club Championships,17/06/2024,ATP500,Outdoor,Grass,1st Round,3,Thompson J.,Rune H.,43,15,1051,2540,4,6,7,6,6,3,,,,,2,1,Completed,2.75,1.44,2.78,1.5,2.89,1.5,2.7,1.45
36,Queens Club,Queen's Club Championships,17/06/2024,ATP500,Outdoor,Grass,1st Round,3,Raonic M.,Norrie C.,186,39,335,1150,6,7,6,3,7,6,,,,,2,1,Completed,1.57,2.38,1.63,2.42,1.67,2.45,1.61,2.29
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Fritz T.,Daniel T.,12,85,3090,680,6,3,6,3,,,,,,,2,0,Completed,1.14,5.5,1.16,5.9,1.18,5.9,1.15,5.3
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Musetti L.,De Minaur A.,30,7,1380,4085,1,6,6,4,6,2,,,,,2,1,Completed,5,1.17,5.13,1.2,5.13,1.23,4.81,1.18
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Arnaldi M.,Humbert U.,35,16,1220,2300,3,6,6,1,7,6,,,,,2,1,Completed,3.2,1.36,3.46,1.35,3.46,1.41,3.18,1.34
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Korda S.,Khachanov K.,23,22,1775,1780,7,5,7,6,,,,,,,2,0,Completed,1.67,2.2,1.72,2.23,1.73,2.25,1.68,2.15
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Tabilo A.,Davidovich Fokina A.,24,33,1639,1240,7,6,3,6,6,1,,,,,2,1,Completed,2.5,1.53,2.48,1.6,2.5,1.6,2.38,1.57
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Paul T.,Baez S.,13,19,2750,2030,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.16,6.06,1.19,6.09,1.14,5.54
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Alcaraz C.,Cerundolo F.,2,26,8580,1610,6,1,7,5,,,,,,,2,0,Completed,1.1,7,1.11,7.87,1.12,7.87,1.1,6.68
36,Queens Club,Queen's Club Championships,18/06/2024,ATP500,Outdoor,Grass,1st Round,3,Harris B.,Etcheverry T.,162,32,366,1290,6,4,3,6,6,3,,,,,2,1,Completed,1.91,1.91,1.88,2.01,2.1,2.01,1.9,1.88
