ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
55,Tokyo,Japan Open Tennis Championships,25/09/2024,ATP500,Outdoor,Hard,1st Round,3,Navone M.,Darderi L.,40,41,1278,1265,6,4,6,4,,,,,,,2,0,Completed,2.3,1.62,2.35,1.66,2.37,1.66,2.28,1.62
55,Tokyo,Japan Open Tennis Championships,25/09/2024,ATP500,Outdoor,Hard,1st Round,3,Berrettini M.,Van De Zandschulp B.,45,67,1165,794,6,3,6,4,,,,,,,2,0,Completed,1.25,4,1.3,3.82,1.3,4,1.27,3.69
55,Tokyo,Japan Open Tennis Championships,25/09/2024,ATP500,Outdoor,Hard,1st Round,3,Hurkacz H.,Giron M.,8,47,4060,1150,6,4,6,7,6,4,,,,,2,1,Completed,1.36,3.2,1.41,3.12,1.41,3.2,1.38,2.98
55,Tokyo,Japan Open Tennis Championships,25/09/2024,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Mochizuki S.,18,146,2370,408,6,1,6,2,,,,,,,2,0,Completed,1.2,4.5,1.2,5.04,1.21,5.11,1.19,4.55
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Nishioka Y.,Auger-Aliassime F.,59,21,849,2170,7,6,3,6,7,6,,,,,2,1,Completed,3.2,1.36,3.15,1.4,3.4,1.4,3.07,1.37
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Draper J.,Bellucci M.,20,103,2315,554,6,4,6,2,,,,,,,2,0,Completed,1.33,3.4,1.34,3.53,1.36,3.53,1.32,3.34
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Paul T.,Arnaldi M.,13,33,3005,1390,6,3,6,2,,,,,,,2,0,Completed,1.33,3.4,1.38,3.29,1.38,3.4,1.34,3.2
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Machac T.,Popyrin A.,34,23,1374,1825,6,3,6,7,7,5,,,,,2,1,Completed,2.38,1.57,2.54,1.57,2.6,1.59,2.46,1.53
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Michelsen A.,Tsitsipas S.,49,12,1115,3390,4,6,6,1,6,2,,,,,2,1,Completed,2.5,1.53,2.46,1.61,2.51,1.62,2.4,1.55
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Shelton B.,Opelka R.,17,306,2490,167,3,6,6,1,6,4,,,,,2,1,Completed,1.36,3.2,1.38,3.3,1.4,3.3,1.35,3.14
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Nakashima B.,Tiafoe F.,36,15,1360,2560,7,5,6,3,,,,,,,2,0,Completed,2.1,1.73,2.18,1.75,2.25,1.75,2.12,1.7
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,O Connell C.,Etcheverry T.,79,35,700,1370,6,4,7,6,,,,,,,2,0,Completed,1.73,2.1,1.83,2.08,1.83,2.11,1.76,2.03
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Rune H.,Tabilo A.,14,22,2780,1963,6,2,5,7,6,4,,,,,2,1,Completed,1.5,2.63,1.57,2.55,1.57,2.63,1.51,2.51
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Fils A.,Fritz T.,24,7,1775,4060,6,4,3,6,6,3,,,,,2,1,Completed,3.5,1.3,3.27,1.38,3.53,1.38,3.34,1.32
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Cilic M.,200,373,288,128,6,4,3,6,6,3,,,,,2,1,Completed,1.62,2.3,1.66,2.34,1.75,2.35,1.63,2.24
55,Tokyo,Japan Open Tennis Championships,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Thompson J.,Ruud C.,29,9,1566,4010,7,6,6,1,,,,,,,2,0,Completed,2.2,1.67,2.28,1.69,2.3,1.69,2.21,1.65
55,Tokyo,Japan Open Tennis Championships,27/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Draper J.,Hurkacz H.,20,8,2315,4060,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,1.65,2.39,1.68,2.39,1.64,2.23
55,Tokyo,Japan Open Tennis Championships,27/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Shelton B.,Navone M.,17,40,2490,1278,6,4,6,3,,,,,,,2,0,Completed,1.17,5,1.21,5.01,1.22,5.11,1.18,4.73
55,Tokyo,Japan Open Tennis Championships,27/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Fils A.,Berrettini M.,24,45,1775,1165,6,7,,,,,,,,,0,1,Retired,2.38,1.57,2.32,1.68,2.4,1.68,2.3,1.6
55,Tokyo,Japan Open Tennis Championships,27/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Humbert U.,Nakashima B.,18,36,2370,1360,6,3,6,2,,,,,,,2,0,Completed,1.8,2,1.95,1.95,1.95,2,1.83,1.96
55,Tokyo,Japan Open Tennis Championships,28/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Machac T.,Paul T.,34,13,1374,3005,2,6,6,3,7,6,,,,,2,1,Completed,3.4,1.33,3.32,1.38,3.5,1.38,3.19,1.34
55,Tokyo,Japan Open Tennis Championships,28/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Michelsen A.,O Connell C.,49,79,1115,700,6,1,6,4,,,,,,,2,0,Completed,1.53,2.5,1.59,2.53,1.59,2.6,1.53,2.5
55,Tokyo,Japan Open Tennis Championships,28/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Nishikori K.,Thompson J.,200,29,288,1566,6,2,6,3,,,,,,,2,0,Completed,2.5,1.53,2.54,1.58,2.54,1.58,2.46,1.55
55,Tokyo,Japan Open Tennis Championships,28/09/2024,ATP500,Outdoor,Hard,2nd Round,3,Rune H.,Nishioka Y.,14,59,2780,849,6,2,6,4,,,,,,,2,0,Completed,1.57,2.38,1.54,2.66,1.65,2.66,1.58,2.37
55,Tokyo,Japan Open Tennis Championships,29/09/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Machac T.,Michelsen A.,34,49,1374,1115,7,6,6,3,,,,,,,2,0,Completed,1.91,1.91,1.99,1.92,2.02,1.92,1.91,1.87
55,Tokyo,Japan Open Tennis Championships,29/09/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Humbert U.,Draper J.,18,20,2370,2315,7,5,2,1,,,,,,,1,0,Retired,2.38,1.57,2.35,1.67,2.4,1.68,2.3,1.6
55,Tokyo,Japan Open Tennis Championships,29/09/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Rune H.,Nishikori K.,14,200,2780,288,3,6,6,2,7,5,,,,,2,1,Completed,1.57,2.38,1.65,2.4,1.7,2.4,1.6,2.31
55,Tokyo,Japan Open Tennis Championships,29/09/2024,ATP500,Outdoor,Hard,Quarterfinals,3,Fils A.,Shelton B.,24,17,1775,2490,7,5,6,7,7,6,,,,,2,1,Completed,2.2,1.67,2.24,1.73,2.25,1.72,2.18,1.66
55,Tokyo,Japan Open Tennis Championships,30/09/2024,ATP500,Outdoor,Hard,Semifinals,3,Humbert U.,Machac T.,18,34,2370,1374,6,3,3,6,6,2,,,,,2,1,Completed,1.57,2.38,1.63,2.45,1.63,2.48,1.57,2.37
