ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
61,Vienna,Vienna Open,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Cobolli F.,Davidovich Fokina A.,31,62,1482,860,7,6,6,3,,,,,,,2,0,Completed,2.1,1.73,2.22,1.72,2.27,1.82,2.1,1.71
61,Vienna,Vienna Open,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Berrettini M.,Fucsovics M.,41,88,1270,639,7,5,6,4,,,,,,,2,0,Completed,1.33,3.4,1.42,3.05,1.44,3.4,1.38,2.98
61,Vienna,Vienna Open,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Zverev A.,Schwaerzler J.,3,347,6795,141,6,2,6,2,,,,,,,2,0,Completed,1.03,15,1.02,27.44,1.03,27.44,1.02,14.29
61,Vienna,Vienna Open,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Mensik J.,Popyrin A.,51,25,1022,1775,7,6,6,2,,,,,,,2,0,Completed,1.67,2.2,1.83,2.07,1.83,2.2,1.73,2.08
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Kecmanovic M.,Navone M.,58,44,925,1188,6,2,6,4,,,,,,,2,0,Completed,1.29,3.75,1.33,3.62,1.31,3.75,1.29,3.48
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Struff J.L.,10,40,3570,1285,2,6,6,2,6,2,,,,,2,1,Completed,1.36,3.2,1.38,3.3,1.41,3.3,1.35,3.13
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Giron M.,Michelsen A.,48,43,1065,1220,7,6,6,3,,,,,,,2,0,Completed,2,1.8,2,1.89,2.12,1.89,1.98,1.8
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Tiafoe F.,Norrie C.,15,53,2625,989,6,4,7,6,,,,,,,2,0,Completed,1.41,2.75,1.53,2.65,1.54,2.9,1.48,2.59
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Monfils G.,Halys Q.,52,90,1010,628,7,6,6,3,,,,,,,2,0,Completed,1.62,2.3,1.67,2.33,1.69,2.33,1.63,2.25
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Darderi L.,Thiem D.,42,318,1228,162,7,6,6,2,,,,,,,2,0,Completed,1.57,2.38,1.56,2.59,1.59,2.55,1.54,2.4
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Musetti L.,Sonego L.,17,49,2425,1061,6,3,6,2,,,,,,,2,0,Completed,1.57,2.38,1.57,2.54,1.59,2.59,1.54,2.45
61,Vienna,Vienna Open,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Draper J.,Nishikori K.,18,141,2310,418,7,6,7,5,,,,,,,2,0,Completed,1.3,3.5,1.32,3.7,1.33,3.71,1.29,3.47
61,Vienna,Vienna Open,23/10/2024,ATP500,Indoor,Hard,1st Round,3,Dimitrov G.,Zhang Zh.,9,46,3735,1145,6,4,7,5,,,,,,,2,0,Completed,1.2,4.5,1.22,4.73,1.23,4.73,1.2,4.4
