ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Cerundolo F.,Griekspoor T.,103.0,57.0,668,962.0,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,3.4,1.33,3.19,1.41,3.4,1.42,3.05,1.37
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Gaston H.,Nava E.,68.0,312.0,877,148.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.68,2.32,1.73,2.35,1.64,2.25
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Kwon S.W.,80.0,63.0,798,901.0,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.57,2.37,1.56,2.61,1.63,2.65,1.55,2.44
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Draper J.,Simon G.,146.0,139.0,435,462.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.62,1.47,2.91,1.56,2.91,1.49,2.63
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Cerundolo J.M.,Lajovic D.,122.0,46.0,541,1091.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,7.0,1.1,7.26,1.13,9.0,1.13,7.16,1.1
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Mcdonald M.,Koepfer D.,54.0,64.0,981,899.0,6.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.36,3.2,1.39,3.26,1.44,3.3,1.36,3.1
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Laaksonen H.,Paire B.,86.0,49.0,744,1041.0,7.0,6.0,1.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.9,1.9,1.98,1.93,2.0,2.04,1.89,1.91
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Galan D.E.,Millman J.,118.0,73.0,554,838.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.86,1.48,2.9,1.48,2.74,1.45
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,Carballes Baena R.,70.0,79.0,863,801.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.44,3.03,1.45,3.25,1.4,2.89
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Verdasco F.,166.0,123.0,359,540.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.72,2.1,1.76,2.19,1.83,2.19,1.75,2.08
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Daniel T.,Munar J.,106.0,89.0,641,724.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.07,1.84,2.2,1.84,2.09,1.74
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Kudla D.,Shang J.,84.0,441.0,759,82.0,6.0,7.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.4,1.39,3.27,1.4,3.4,1.35,3.16
20,Miami,Miami Open,23/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Otte O.,Krueger M.,74.0,160.0,836,367.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.79,2.15,1.81,2.24,1.73,2.1
20,Miami,Miami Open,24/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Cressy M.,71.0,72.0,862,855.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.57,2.37,1.66,2.37,1.66,2.44,1.6,2.33
20,Miami,Miami Open,24/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Kyrgios N.,Mannarino A.,102.0,61.0,673,904.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.26,4.37,1.28,4.5,1.22,4.2
20,Miami,Miami Open,24/03/2022,Masters 1000,Outdoor,Hard,1st Round,3,Kokkinakis T.,Gasquet R.,97.0,81.0,700,777.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.44,3.03,1.44,3.07,1.41,2.9
