ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
55,Chengdu,Chengdu Open,23/09/2019,ATP250,Outdoor,Hard,1st Round,3,Garin C.,Edmund K.,33,32,1297,1325,6,3,6,2,,,,,,,2,0,Completed,2.75,1.4,3.17,1.4,3.2,1.44,2.97,1.39
55,Chengdu,Chengdu Open,23/09/2019,ATP250,Outdoor,Hard,1st Round,3,Klahn B.,Jung J.,97,132,566,417,4,6,6,3,7,6,,,,,2,1,Completed,1.57,2.25,1.56,2.59,1.66,2.65,1.55,2.42
55,Chengdu,Chengdu Open,23/09/2019,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Bai Y.,48,222,1038,215,6,3,4,6,7,6,,,,,2,1,Completed,1.14,5.5,1.16,6.05,1.18,6.1,1.14,5.46
55,Chengdu,Chengdu Open,24/09/2019,ATP250,Outdoor,Hard,1st Round,3,Carreno Busta P.,Albot R.,63,42,942,1087,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.6,2.49,1.55,2.5,1.54,2.42
55,Chengdu,Chengdu Open,24/09/2019,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Londero J.I.,29,57,1396,997,6,2,4,6,6,4,,,,,2,1,Completed,1.66,2.1,1.69,2.28,1.72,2.34,1.67,2.19
55,Chengdu,Chengdu Open,24/09/2019,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Popyrin A.,35,90,1265,592,6,2,7,5,,,,,,,2,0,Completed,1.72,2,1.76,2.17,1.88,2.2,1.73,2.1
55,Chengdu,Chengdu Open,24/09/2019,ATP250,Outdoor,Hard,1st Round,3,Harris L.,Fucsovics M.,111,66,510,885,4,6,6,4,6,2,,,,,2,1,Completed,,,,,,,,
55,Chengdu,Chengdu Open,24/09/2019,ATP250,Outdoor,Hard,1st Round,3,Gerasimov E.,Li Z.,98,234,565,205,4,6,6,2,6,3,,,,,2,1,Completed,1.28,3.5,1.31,3.74,1.32,4.2,1.28,3.61
55,Chengdu,Chengdu Open,25/09/2019,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Chung H.,62,145,961,383,1,6,6,3,6,4,,,,,2,1,Completed,2.5,1.5,2.33,1.67,2.75,1.67,2.48,1.54
55,Chengdu,Chengdu Open,25/09/2019,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Pospisil V.,54,223,1008,214,6,3,3,6,7,5,,,,,2,1,Completed,1.61,2.2,1.78,2.14,1.8,2.27,1.72,2.1
