ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
35,Halle,Halle Open,17/06/2019,ATP500,Outdoor,Grass,1st Round,3,Albot R.,Ebden M.,41,80,1101,696,5,7,6,1,6,4,,,,,2,1,Completed,2.1,1.66,2.24,1.72,2.27,1.77,2.15,1.69
35,Halle,Halle Open,17/06/2019,ATP500,Outdoor,Grass,1st Round,3,Johnson S.,Kohlschreiber P.,76,50,725,930,6,3,6,3,,,,,,,2,0,Completed,2.25,1.57,2.21,1.73,2.38,1.73,2.27,1.62
35,Halle,Halle Open,17/06/2019,ATP500,Outdoor,Grass,1st Round,3,Herbert P.H.,Monfils G.,43,16,1008,2055,7,6,6,4,,,,,,,2,0,Completed,2.62,1.44,2.62,1.54,2.71,1.57,2.58,1.5
35,Halle,Halle Open,17/06/2019,ATP500,Outdoor,Grass,1st Round,3,Sousa J.,Hurkacz H.,71,53,750,923,7,6,6,1,,,,,,,2,0,Completed,2.1,1.66,2.14,1.78,2.35,1.83,2.1,1.73
35,Halle,Halle Open,17/06/2019,ATP500,Outdoor,Grass,1st Round,3,Khachanov K.,Kecmanovic M.,9,82,2980,671,7,6,6,4,,,,,,,2,0,Completed,1.25,3.75,1.31,3.72,1.33,4.66,1.26,3.9
35,Halle,Halle Open,17/06/2019,ATP500,Outdoor,Grass,1st Round,3,Zverev A.,Haase R.,5,66,4360,781,6,4,7,5,,,,,,,2,0,Completed,1.16,5,1.17,5.78,1.18,6,1.16,5.2
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Gasquet R.,Gojowczyk P.,54,121,920,465,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.38,3.27,1.43,3.27,1.38,3.01
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Goffin D.,Pella G.,33,24,1255,1430,6,1,6,1,,,,,,,2,0,Completed,1.2,4.33,1.28,4.06,1.32,4.33,1.26,3.88
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Struff J.L.,Djere L.,35,27,1240,1329,6,4,6,4,,,,,,,2,0,Completed,1.16,5,1.17,5.85,1.2,5.95,1.16,5.15
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Bautista Agut R.,Fritz T.,20,42,1690,1090,7,6,6,0,,,,,,,2,0,Completed,1.5,2.5,1.61,2.44,1.65,2.57,1.56,2.42
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Coric B.,Munar J.,14,88,2615,630,7,6,6,3,,,,,,,2,0,Completed,1.18,4.5,1.21,5,1.23,5.1,1.2,4.58
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Stakhovsky S.,Molleker R.,123,152,461,370,3,6,7,6,6,2,,,,,2,1,Completed,1.53,2.37,1.55,2.6,1.61,2.6,1.55,2.45
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Seppi A.,Moraing M.,69,223,770,222,6,4,7,6,,,,,,,2,0,Completed,1.36,3,1.36,3.38,1.43,3.4,1.36,3.11
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Tsonga J.W.,Paire B.,77,28,725,1303,6,4,7,5,,,,,,,2,0,Completed,1.36,3,1.4,3.15,1.44,3.26,1.37,3.05
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Berrettini M.,Basilashvili N.,22,17,1505,1970,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.33,3.63,1.34,3.9,1.29,3.61
35,Halle,Halle Open,18/06/2019,ATP500,Outdoor,Grass,1st Round,3,Federer R.,Millman J.,3,57,6420,875,7,6,6,3,,,,,,,2,0,Completed,1.08,8,1.05,12.86,1.09,12.86,1.06,9.09
35,Halle,Halle Open,19/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Goffin D.,Albot R.,33,41,1255,1101,4,6,6,4,6,3,,,,,2,1,Completed,1.2,4.33,1.22,4.81,1.28,4.81,1.22,4.29
35,Halle,Halle Open,19/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Khachanov K.,Struff J.L.,9,35,2980,1240,6,3,3,6,6,4,,,,,2,1,Completed,1.9,1.8,1.97,1.93,2,1.93,1.94,1.85
35,Halle,Halle Open,19/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Herbert P.H.,Stakhovsky S.,43,123,1008,461,2,6,7,6,6,4,,,,,2,1,Completed,1.33,3.25,1.36,3.49,1.39,3.49,1.34,3.26
35,Halle,Halle Open,19/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Coric B.,Sousa J.,14,71,2615,750,7,6,5,7,7,6,,,,,2,1,Completed,1.22,4,1.22,4.95,1.25,4.95,1.22,4.22
35,Halle,Halle Open,20/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Berrettini M.,Seppi A.,22,69,1505,770,4,6,6,3,6,2,,,,,2,1,Completed,1.22,4,1.34,3.6,1.34,4.33,1.25,3.89
35,Halle,Halle Open,20/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Bautista Agut R.,Gasquet R.,20,54,1690,920,6,1,6,4,,,,,,,2,0,Completed,1.53,2.37,1.57,2.58,1.61,2.58,1.55,2.44
35,Halle,Halle Open,20/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Zverev A.,Johnson S.,5,76,4360,725,6,3,7,5,,,,,,,2,0,Completed,1.5,2.5,1.51,2.74,1.54,2.88,1.49,2.62
35,Halle,Halle Open,20/06/2019,ATP500,Outdoor,Grass,2nd Round,3,Federer R.,Tsonga J.W.,3,77,6420,725,7,6,4,6,7,5,,,,,2,1,Completed,1.16,5,1.18,5.66,1.21,5.69,1.17,4.97
35,Halle,Halle Open,21/06/2019,ATP500,Outdoor,Grass,Quarterfinals,3,Berrettini M.,Khachanov K.,22,9,1505,2980,6,2,7,6,,,,,,,2,0,Completed,1.66,2.2,1.69,2.34,1.72,2.35,1.65,2.24
35,Halle,Halle Open,21/06/2019,ATP500,Outdoor,Grass,Quarterfinals,3,Goffin D.,Zverev A.,33,5,1255,4360,3,6,6,1,7,6,,,,,2,1,Completed,2.37,1.57,2.3,1.71,2.5,1.71,2.38,1.58
35,Halle,Halle Open,21/06/2019,ATP500,Outdoor,Grass,Quarterfinals,3,Herbert P.H.,Coric B.,43,14,1008,2615,7,5,,,,,,,,,1,0,Retired,2.3,1.61,2.88,1.49,2.9,1.67,2.37,1.59
35,Halle,Halle Open,21/06/2019,ATP500,Outdoor,Grass,Quarterfinals,3,Federer R.,Bautista Agut R.,3,20,6420,1690,6,3,4,6,6,4,,,,,2,1,Completed,1.16,5,1.16,6.23,1.21,6.4,1.16,5.29
35,Halle,Halle Open,22/06/2019,ATP500,Outdoor,Grass,Semifinals,3,Goffin D.,Berrettini M.,33,22,1255,1505,7,6,6,3,,,,,,,2,0,Completed,2.3,1.61,2.29,1.71,2.55,1.74,2.26,1.64
35,Halle,Halle Open,22/06/2019,ATP500,Outdoor,Grass,Semifinals,3,Federer R.,Herbert P.H.,3,43,6420,1008,6,3,6,3,,,,,,,2,0,Completed,1.08,8,1.08,10.36,1.1,10.36,1.08,8.24
35,Halle,Halle Open,23/06/2019,ATP500,Outdoor,Grass,The Final,3,Federer R.,Goffin D.,3,33,6420,1255,7,6,6,1,,,,,,,2,0,Completed,1.14,5.5,1.15,6.54,1.18,6.54,1.15,5.54
