ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
37,Bastad,Nordea Open,12/07/2021,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,Monteiro T.,107,93,747,831,6,2,7,5,,,,,,,2,0,Completed,2,1.8,2.16,1.77,2.16,1.92,2.05,1.77
37,Bastad,Nordea Open,12/07/2021,ATP250,Outdoor,Clay,1st Round,3,Cecchinato M.,Gasquet R.,82,54,888,1183,6,2,5,7,6,3,,,,,2,1,Completed,1.8,2,1.75,2.18,2.01,2.27,1.77,2.05
37,Bastad,Nordea Open,12/07/2021,ATP250,Outdoor,Clay,1st Round,3,Ymer E.,Daniel T.,169,106,428,751,6,2,6,7,6,4,,,,,2,1,Completed,1.72,2.1,1.75,2.19,2.08,2.19,1.76,2.06
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Sousa P.,105,119,757,679,6,1,6,1,,,,,,,2,0,Completed,1.25,4,1.24,4.45,1.37,4.5,1.28,3.66
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Novak D.,95,122,811,660,7,5,6,1,,,,,,,2,0,Completed,1.44,2.75,1.47,2.87,1.53,2.9,1.45,2.72
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Gombos N.,Cuevas P.,99,86,782,864,1,6,7,6,6,2,,,,,2,1,Completed,2.75,1.44,3.06,1.42,3.15,1.45,2.91,1.4
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Vesely J.,Caruso S.,81,96,897,803,6,3,6,2,,,,,,,2,0,Completed,1.9,1.9,1.93,1.96,2.05,1.96,1.92,1.87
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Bagnis F.,97,74,796,938,6,2,6,4,,,,,,,2,0,Completed,2,1.8,2.23,1.72,2.23,1.82,2.09,1.72
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Cerundolo F.,77,116,933,698,6,4,6,4,,,,,,,2,0,Completed,1.66,2.2,1.66,2.34,1.86,2.34,1.67,2.19
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Rune H.,Albot R.,211,91,332,836,4,6,6,3,6,0,,,,,2,1,Completed,1.44,2.75,1.49,2.81,1.57,3.1,1.47,2.65
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Ruusuvuori E.,Ymer M.,80,94,919,825,1,6,6,4,6,3,,,,,2,1,Completed,2.5,1.53,2.69,1.52,2.7,1.55,2.54,1.5
37,Bastad,Nordea Open,13/07/2021,ATP250,Outdoor,Clay,1st Round,3,Laaksonen H.,Musetti L.,134,62,581,1106,6,2,3,6,6,4,,,,,2,1,Completed,3,1.4,3.05,1.43,3.32,1.43,2.96,1.39
37,Bastad,Nordea Open,14/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Coria F.,Cecchinato M.,77,82,933,888,4,6,6,4,6,3,,,,,2,1,Completed,2.37,1.57,2.53,1.59,2.66,1.61,2.44,1.54
37,Bastad,Nordea Open,14/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Garin C.,Martinez P.,18,95,2610,811,6,3,6,3,,,,,,,2,0,Completed,1.57,2.37,1.72,2.25,1.72,2.5,1.62,2.27
37,Bastad,Nordea Open,14/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Rinderknech A.,Millman J.,105,45,757,1476,6,3,3,6,6,3,,,,,2,1,Completed,1.44,2.75,1.55,2.65,1.58,2.8,1.5,2.57
37,Bastad,Nordea Open,14/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Hanfmann Y.,Vesely J.,107,81,747,897,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.61,2.48,1.63,2.6,1.55,2.41
37,Bastad,Nordea Open,15/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Gombos N.,Ruusuvuori E.,99,80,782,919,6,2,6,4,,,,,,,2,0,Completed,1.72,2.1,1.87,2.04,1.95,2.13,1.8,1.99
37,Bastad,Nordea Open,15/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Carballes Baena R.,Fognini F.,97,31,796,1868,6,3,1,6,6,4,,,,,2,1,Completed,2.62,1.5,2.72,1.52,3.27,1.55,2.65,1.47
37,Bastad,Nordea Open,15/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Ruud C.,Rune H.,16,211,2725,332,6,0,6,2,,,,,,,2,0,Completed,1.12,6,1.15,6.36,1.18,6.5,1.14,5.59
37,Bastad,Nordea Open,15/07/2021,ATP250,Outdoor,Clay,2nd Round,3,Laaksonen H.,Ymer E.,134,169,581,428,6,2,7,5,,,,,,,2,0,Completed,1.66,2.2,1.79,2.15,1.79,2.4,1.63,2.25
37,Bastad,Nordea Open,16/07/2021,ATP250,Outdoor,Clay,Quarterfinals,3,Hanfmann Y.,Rinderknech A.,107,105,747,757,6,4,6,3,,,,,,,2,0,Completed,1.8,2,1.86,2.05,1.87,2.16,1.79,2.01
37,Bastad,Nordea Open,16/07/2021,ATP250,Outdoor,Clay,Quarterfinals,3,Coria F.,Garin C.,77,18,933,2610,6,4,4,6,6,2,,,,,2,1,Completed,3.4,1.33,3.43,1.36,3.58,1.39,3.22,1.34
37,Bastad,Nordea Open,16/07/2021,ATP250,Outdoor,Clay,Quarterfinals,3,Ruud C.,Laaksonen H.,16,134,2725,581,,,,,,,,,,,,,Retired,1.14,5.5,1.15,6.52,1.16,6.52,1.12,5.98
37,Bastad,Nordea Open,16/07/2021,ATP250,Outdoor,Clay,Quarterfinals,3,Carballes Baena R.,Gombos N.,97,99,796,782,6,4,6,2,,,,,,,2,0,Completed,2,1.8,2.01,1.9,2.09,2.04,1.98,1.82
37,Bastad,Nordea Open,17/07/2021,ATP250,Outdoor,Clay,Semifinals,3,Coria F.,Hanfmann Y.,77,107,933,747,6,2,6,1,,,,,,,2,0,Completed,2,1.8,2.04,1.87,2.12,1.96,2,1.8
37,Bastad,Nordea Open,17/07/2021,ATP250,Outdoor,Clay,Semifinals,3,Ruud C.,Carballes Baena R.,16,97,2725,796,6,1,6,4,,,,,,,2,0,Completed,1.14,5.5,1.14,6.84,1.16,6.84,1.14,5.69
37,Bastad,Nordea Open,18/07/2021,ATP250,Outdoor,Clay,The Final,3,Ruud C.,Coria F.,16,77,2725,933,6,3,6,3,,,,,,,2,0,Completed,1.14,5.5,1.2,5.22,1.22,5.5,1.17,5
