ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
15,Dubai ,Dubai Tennis Championships,14/03/2021,ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Opelka R.,41,38,1423,1457,3,6,6,3,6,4,,,,,2,1,Completed,2.1,1.72,2.23,1.72,2.38,1.78,2.18,1.68
15,Dubai ,Dubai Tennis Championships,14/03/2021,ATP500,Outdoor,Hard,1st Round,3,Chardy J.,Ramos-Vinolas A.,53,47,1120,1360,6,3,3,6,6,4,,,,,2,1,Completed,1.36,3.2,1.36,3.4,1.37,3.75,1.32,3.34
15,Dubai ,Dubai Tennis Championships,14/03/2021,ATP500,Outdoor,Hard,1st Round,3,Karatsev A.,Gerasimov E.,42,77,1395,936,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.43,3.03,1.46,3.2,1.4,2.9
15,Dubai ,Dubai Tennis Championships,14/03/2021,ATP500,Outdoor,Hard,1st Round,3,Bublik A.,Nishioka Y.,43,64,1385,1046,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,1.51,2.72,1.58,3.26,1.47,2.67
15,Dubai ,Dubai Tennis Championships,14/03/2021,ATP500,Outdoor,Hard,1st Round,3,Jaziri M.,Tsonga J.W.,258,66,229,1025,3,3,,,,,,,,,0,0,Retired,3.75,1.28,3.8,1.3,4,1.31,3.61,1.28
15,Dubai ,Dubai Tennis Championships,14/03/2021,ATP500,Outdoor,Hard,1st Round,3,Popyrin A.,Novak D.,86,99,863,785,7,6,7,5,,,,,,,2,0,Completed,1.44,2.75,1.39,3.23,1.5,3.23,1.43,2.8
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Struff J.L.,Kukushkin M.,39,104,1450,769,6,3,6,2,,,,,,,2,0,Completed,1.5,2.62,1.53,2.67,1.59,2.7,1.5,2.57
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Albot R.,52,76,1144,936,6,4,6,4,,,,,,,2,0,Completed,1.44,2.75,1.47,2.88,1.51,2.91,1.45,2.74
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Zapata Miralles B.,Millman J.,150,40,489,1426,6,4,6,4,,,,,,,2,0,Completed,2.1,1.72,2.14,1.78,2.3,1.85,2.08,1.75
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Bedene A.,Bhambri Y.,59,N/A,1085,N/A,3,6,6,1,6,4,,,,,2,1,Completed,1.4,3,1.4,3.2,1.43,3.25,1.38,3
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Harris L.,O Connell C.,81,122,885,617,6,7,6,4,6,1,,,,,2,1,Completed,1.36,3.2,1.37,3.33,1.38,3.4,1.35,3.15
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Gasquet R.,Cecchinato M.,49,89,1185,856,6,4,6,2,,,,,,,2,0,Completed,1.4,3,1.39,3.21,1.43,3.35,1.38,3.02
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Thompson J.,87,55,861,1104,6,3,7,6,,,,,,,2,0,Completed,1.4,3,1.36,3.39,1.4,3.39,1.37,3.06
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,1st Round,3,Fucsovics M.,Pospisil V.,44,65,1382,1033,2,6,7,5,6,4,,,,,2,1,Completed,1.61,2.3,1.57,2.55,1.65,2.6,1.57,2.39
15,Dubai ,Dubai Tennis Championships,15/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Chardy J.,De Minaur A.,53,23,1120,2190,2,6,6,3,6,4,,,,,2,1,Completed,3.2,1.36,3.29,1.39,3.33,1.43,3.01,1.38
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Sonego L.,Zapata Miralles B.,37,150,1643,489,6,2,6,2,,,,,,,2,0,Completed,1.53,2.5,1.51,2.77,1.58,2.8,1.5,2.58
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Hurkacz H.,Gasquet R.,35,49,1645,1185,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.56,2.62,1.62,2.62,1.53,2.48
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Karatsev A.,Evans D.,42,28,1395,1813,6,4,4,6,6,4,,,,,2,1,Completed,1.9,1.9,1.93,1.97,2,2.06,1.87,1.93
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Shapovalov D.,Struff J.L.,12,39,2865,1450,6,1,6,3,,,,,,,2,0,Completed,1.53,2.5,1.5,2.79,1.57,2.79,1.51,2.55
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Khachanov K.,Popyrin A.,22,86,2200,863,6,4,3,6,7,6,,,,,2,1,Completed,1.57,2.37,1.64,2.42,1.64,2.55,1.57,2.39
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Sinner J.,Bublik A.,32,43,1719,1385,2,6,7,6,6,4,,,,,2,1,Completed,1.44,2.75,1.42,3.14,1.49,3.14,1.44,2.78
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Lajovic D.,Jaziri M.,26,258,1895,229,7,5,6,2,,,,,,,2,0,Completed,1.22,4.33,1.22,4.93,1.22,5.2,1.19,4.62
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Rublev A.,Ruusuvuori E.,8,87,5011,861,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.2,5.16,1.2,5.8,1.16,5.11
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Bedene A.,Giustino L.,59,163,1085,443,6,4,6,3,,,,,,,2,0,Completed,1.16,5,1.23,4.73,1.24,5.2,1.19,4.7
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Ebden M.,11,221,2910,297,4,1,,,,,,,,,0,0,Retired,1.14,5.5,1.14,6.83,1.14,7.1,1.12,6.19
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Fucsovics M.,Carreno Busta P.,44,15,1382,2630,6,7,6,3,6,2,,,,,2,1,Completed,1.8,2,1.8,2.13,1.86,2.2,1.76,2.05
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Fritz T.,Basilashvili N.,30,36,1775,1645,4,6,6,3,7,6,,,,,2,1,Completed,1.61,2.3,1.7,2.29,1.7,2.4,1.63,2.25
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Nishikori K.,Goffin D.,41,13,1423,2795,6,3,7,6,,,,,,,2,0,Completed,2.2,1.66,2.24,1.73,2.33,1.78,2.15,1.7
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Krajinovic F.,Davidovich Fokina A.,33,52,1665,1144,7,5,6,4,,,,,,,2,0,Completed,2,1.8,2.02,1.88,2.07,2.05,1.96,1.84
15,Dubai ,Dubai Tennis Championships,16/03/2021,ATP500,Outdoor,Hard,2nd Round,3,Harris L.,Thiem D.,81,4,885,8625,6,3,6,4,,,,,,,2,0,Completed,4,1.25,3.83,1.31,4,1.31,3.76,1.27
15,Dubai ,Dubai Tennis Championships,17/03/2021,ATP500,Outdoor,Hard,3rd Round,3,Shapovalov D.,Hurkacz H.,12,35,2865,1645,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.52,2.71,1.58,2.8,1.49,2.61
15,Dubai ,Dubai Tennis Championships,17/03/2021,ATP500,Outdoor,Hard,3rd Round,3,Chardy J.,Khachanov K.,53,22,1120,2200,6,7,6,4,6,4,,,,,2,1,Completed,2.37,1.57,2.51,1.6,2.55,1.7,2.34,1.59
15,Dubai ,Dubai Tennis Championships,17/03/2021,ATP500,Outdoor,Hard,3rd Round,3,Sinner J.,Bautista Agut R.,32,11,1719,2910,6,4,3,6,7,5,,,,,2,1,Completed,2.1,1.72,2.15,1.79,2.21,1.83,2.1,1.73
15,Dubai ,Dubai Tennis Championships,17/03/2021,ATP500,Outdoor,Hard,3rd Round,3,Karatsev A.,Sonego L.,42,37,1395,1643,3,6,6,3,6,4,,,,,2,1,Completed,1.57,2.37,1.58,2.54,1.63,2.54,1.58,2.37
