ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,Queens Club,Queen's Club Championships,13/06/2022,ATP500,Outdoor,Grass,1st Round,3,De Minaur A.,Opelka R.,21,18,1768,2100,6,4,6,4,,,,,,,2,0,Completed,1.72,2.1,1.74,2.2,1.75,2.21,1.71,2.12
36,Queens Club,Queen's Club Championships,13/06/2022,ATP500,Outdoor,Grass,1st Round,3,Davidovich Fokina A.,Ramos-Vinolas A.,44,40,1050,1080,7,5,6,4,,,,,,,2,0,Completed,1.36,3.2,1.41,3.15,1.41,3.26,1.36,3.08
36,Queens Club,Queen's Club Championships,13/06/2022,ATP500,Outdoor,Grass,1st Round,3,Draper J.,Fritz T.,99,14,582,2920,6,3,6,2,,,,,,,2,0,Completed,2.75,1.44,2.72,1.51,2.95,1.51,2.63,1.48
36,Queens Club,Queen's Club Championships,13/06/2022,ATP500,Outdoor,Grass,1st Round,3,Dimitrov G.,Norrie C.,22,11,1740,3455,6,7,6,1,6,4,,,,,2,1,Completed,2.2,1.66,2.26,1.7,2.47,1.88,2.16,1.69
36,Queens Club,Queen's Club Championships,13/06/2022,ATP500,Outdoor,Grass,1st Round,3,Bublik A.,Musetti L.,37,74,1105,802,6,3,,,,,,,,,1,0,Retired,1.44,2.75,1.4,3.19,1.46,3.26,1.39,2.93
36,Queens Club,Queen's Club Championships,13/06/2022,ATP500,Outdoor,Grass,1st Round,3,Cilic M.,Broady L.,17,137,2130,456,6,1,4,6,7,5,,,,,2,1,Completed,1.22,4.33,1.2,5.1,1.25,5.1,1.2,4.47
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Querrey S.,Schwartzman D.,121,16,512,2325,6,1,6,4,,,,,,,2,0,Completed,1.8,2,1.84,2.06,1.95,2.1,1.81,1.98
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Ruusuvuori E.,Halys Q.,56,86,945,715,6,4,6,7,6,4,,,,,2,1,Completed,1.57,2.37,1.72,2.23,1.75,2.45,1.65,2.22
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Van De Zandschulp B.,Jubb P.,29,227,1364,245,7,6,4,6,6,1,,,,,2,1,Completed,1.57,2.37,1.62,2.44,1.67,2.78,1.56,2.41
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Peniston R.,Ruud C.,180,5,321,5050,7,6,7,6,,,,,,,2,0,Completed,3.5,1.3,3.53,1.34,3.58,1.4,3.35,1.32
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Cerundolo F.,Martinez P.,46,49,1035,1010,6,3,6,2,,,,,,,2,0,Completed,2.1,1.72,2.26,1.7,2.38,1.72,2.25,1.63
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Krajinovic F.,Brooksby J.,48,33,1010,1187,6,4,6,3,,,,,,,2,0,Completed,2.75,1.44,3.04,1.43,3.04,1.45,2.88,1.41
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Berrettini M.,Evans D.,10,31,3570,1271,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.51,2.72,1.51,2.85,1.47,2.64
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Kudla D.,Sonego L.,82,32,733,1215,6,4,3,6,6,4,,,,,2,1,Completed,2.3,1.61,2.29,1.69,2.4,1.71,2.21,1.65
36,Queens Club,Queen's Club Championships,14/06/2022,ATP500,Outdoor,Grass,1st Round,3,Wawrinka S.,Tiafoe F.,290,27,169,1519,7,6,6,7,7,6,,,,,2,1,Completed,2.62,1.5,2.88,1.47,2.94,1.5,2.75,1.44
36,Queens Club,Queen's Club Championships,15/06/2022,ATP500,Outdoor,Grass,1st Round,3,Paul T.,Shapovalov D.,35,15,1113,2473,6,4,2,6,6,4,,,,,2,1,Completed,2.75,1.44,2.75,1.5,2.8,1.54,2.7,1.47
36,Queens Club,Queen's Club Championships,15/06/2022,ATP500,Outdoor,Grass,2nd Round,3,Davidovich Fokina A.,De Minaur A.,44,21,1050,1768,4,6,6,4,7,5,,,,,2,1,Completed,2.75,1.44,3.15,1.41,3.15,1.48,2.88,1.41
36,Queens Club,Queen's Club Championships,15/06/2022,ATP500,Outdoor,Grass,2nd Round,3,Van De Zandschulp B.,Dimitrov G.,29,22,1364,1740,7,6,6,3,,,,,,,2,0,Completed,3.5,1.3,3.74,1.32,4.2,1.36,3.51,1.29
36,Queens Club,Queen's Club Championships,15/06/2022,ATP500,Outdoor,Grass,2nd Round,3,Ruusuvuori E.,Draper J.,56,99,945,582,6,2,7,6,,,,,,,2,0,Completed,2.37,1.57,2.51,1.6,2.52,1.65,2.36,1.58
36,Queens Club,Queen's Club Championships,15/06/2022,ATP500,Outdoor,Grass,2nd Round,3,Cilic M.,Bublik A.,17,37,2130,1105,7,6,7,5,,,,,,,2,0,Completed,1.44,2.75,1.56,2.62,1.56,2.8,1.47,2.66
