ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Edmund K.,Watanuki Y.,639,239,34,212,6,4,7,6,,,,,,,2,0,Completed,2.2,1.66,2.29,1.67,2.38,1.72,2.22,1.65
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Koepfer D.,Kwon S.W.,145,77,392,648,3,6,6,3,6,4,,,,,2,1,Completed,2.1,1.72,2.19,1.74,2.4,1.75,2.15,1.69
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Kudla D.,Mmoh M.,82,162,625,338,1,6,6,3,6,4,,,,,2,1,Completed,1.66,2.2,1.66,2.35,1.69,2.42,1.62,2.25
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Gojo B.,Duckworth J.,198,59,265,761,4,6,7,6,6,2,,,,,2,1,Completed,2.37,1.57,2.54,1.57,2.76,1.6,2.42,1.55
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Wolf J.J.,Daniel T.,99,94,531,557,6,2,6,3,,,,,,,2,0,Completed,2.75,1.44,2.94,1.45,3.06,1.52,2.75,1.44
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Ymer M.,Murray A.,115,50,475,950,7,6,4,6,6,1,,,,,2,1,Completed,3.5,1.3,3.5,1.34,3.94,1.34,3.34,1.32
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Popyrin A.,Wu T.L.,83,182,624,294,3,3,,,,,,,,,0,0,Retired,1.53,2.5,1.54,2.63,1.56,2.7,1.52,2.51
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Draper J.,Kozlov S.,81,111,629,493,7,5,6,2,,,,,,,2,0,Completed,1.2,4.5,1.25,4.38,1.25,4.56,1.22,4.18
48,Washington,Citi Open,01/08/2022,ATP500,Outdoor,Hard,1st Round,3,Mannarino A.,Klahn B.,67,808,696,18,6,2,6,4,,,,,,,2,0,Completed,1.16,5,1.14,6.45,1.18,6.75,1.13,5.71
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,1st Round,3,Paire B.,Gojowczyk P.,112,110,491,495,7,5,6,4,,,,,,,2,0,Completed,2.3,1.61,2.39,1.64,2.48,1.65,2.31,1.59
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,1st Round,3,Eubanks C.,Bonzi B.,156,51,356,919,3,6,6,3,7,5,,,,,2,1,Completed,2.37,1.57,2.5,1.59,2.5,1.59,2.39,1.56
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Mcdonald M.,46,48,970,956,1,6,6,4,6,4,,,,,2,1,Completed,1.66,2.2,1.64,2.39,1.73,2.39,1.65,2.22
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,1st Round,3,Nishioka Y.,Brooksby J.,96,37,552,1162,6,4,6,3,,,,,,,2,0,Completed,3.4,1.33,3.39,1.36,3.54,1.38,3.27,1.33
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,1st Round,3,Korda S.,Ivashka I.,54,49,815,955,6,4,7,6,,,,,,,2,0,Completed,1.9,1.9,1.95,1.93,1.95,2.12,1.87,1.92
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,1st Round,3,Sock J.,Goffin D.,105,60,505,750,7,6,6,4,,,,,,,2,0,Completed,2.37,1.57,2.44,1.61,2.5,1.62,2.35,1.58
48,Washington,Citi Open,03/08/2022,ATP500,Outdoor,Hard,1st Round,3,Kyrgios N.,Giron M.,63,53,710,830,6,3,6,2,,,,,,,2,0,Completed,1.25,4,1.28,4.03,1.29,4.2,1.26,3.77
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,2nd Round,3,Evans D.,Edmund K.,40,639,1115,34,6,1,6,2,,,,,,,2,0,Completed,1.44,2.75,1.43,3.08,1.5,3.08,1.44,2.74
48,Washington,Citi Open,02/08/2022,ATP500,Outdoor,Hard,2nd Round,3,Rublev A.,Draper J.,8,81,3575,629,6,4,6,2,,,,,,,2,0,Completed,1.36,3.2,1.37,3.42,1.4,3.42,1.36,3.09
48,Washington,Citi Open,03/08/2022,ATP500,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Gojo B.,26,198,1446,265,7,6,6,7,6,4,,,,,2,1,Completed,1.3,3.5,1.28,4.11,1.32,4.33,1.28,3.58
48,Washington,Citi Open,03/08/2022,ATP500,Outdoor,Hard,2nd Round,3,Khachanov K.,Koepfer D.,24,145,1485,392,6,7,7,5,6,4,,,,,2,1,Completed,1.36,3.2,1.35,3.55,1.37,3.55,1.34,3.2
