ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Shelton B.,Mcdonald M.,37,54,1029,865,7,5,6,4,,,,,,,2,0,Completed,2.1,1.73,2.28,1.69,2.31,1.8,2.13,1.72
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Zapata Miralles B.,Balazs A.,41,745,968,30,6,2,6,2,,,,,,,2,0,Completed,1.02,19,1.04,15.68,1.04,25.56,1.02,15.03
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Ruusuvuori E.,Bublik A.,40,55,977,865,6,0,6,3,,,,,,,2,0,Completed,1.44,2.75,1.46,2.9,1.47,3,1.43,2.83
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Borges N.,Ivashka I.,79,61,711,781,6,2,6,3,,,,,,,2,0,Completed,2.38,1.57,2.42,1.63,2.5,1.64,2.38,1.58
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Etcheverry T.,Andujar P.,59,323,806,155,6,2,7,5,,,,,,,2,0,Completed,1.13,6,1.14,6.62,1.22,7,1.13,6.08
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Jarry N.,Trungelliti M.,51,240,874,233,7,5,6,3,,,,,,,2,0,Completed,1.22,4.33,1.22,4.78,1.23,5,1.21,4.45
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Kotov P.,Krutykh O.,108,180,553,327,6,7,6,4,6,1,,,,,2,1,Completed,1.5,2.63,1.55,2.62,1.58,2.64,1.52,2.55
24,Barcelona,Barcelona Open,17/04/2023,ATP500,Outdoor,Clay,1st Round,3,Kovalik J.,Martinez P.,155,136,377,426,7,5,2,6,7,5,,,,,2,1,Completed,2.5,1.53,2.43,1.62,2.6,1.62,2.43,1.56
24,Barcelona,Barcelona Open,18/04/2023,ATP500,Outdoor,Clay,1st Round,3,Shevchenko A.,Giustino L.,98,223,610,259,6,2,6,2,,,,,,,2,0,Completed,1.33,3.4,1.3,3.87,1.34,4.16,1.3,3.57
24,Barcelona,Barcelona Open,18/04/2023,ATP500,Outdoor,Clay,1st Round,3,Passaro F.,Verdasco F.,125,244,486,229,6,1,6,1,,,,,,,2,0,Completed,1.33,3.4,1.35,3.45,1.41,3.45,1.35,3.22
24,Barcelona,Barcelona Open,18/04/2023,ATP500,Outdoor,Clay,1st Round,3,Schwartzman D.,Wu Y.,48,56,890,843,6,2,6,2,,,,,,,2,0,Completed,1.44,2.75,1.54,2.63,1.54,2.8,1.48,2.66
24,Barcelona,Barcelona Open,18/04/2023,ATP500,Outdoor,Clay,1st Round,3,Arnaldi M.,Munar J.,105,83,560,695,6,3,6,4,,,,,,,2,0,Completed,2.75,1.44,2.62,1.54,2.96,1.54,2.72,1.46
24,Barcelona,Barcelona Open,18/04/2023,ATP500,Outdoor,Clay,1st Round,3,Gomez E.,Ramos-Vinolas A.,120,58,497,810,6,3,1,6,6,4,,,,,2,1,Completed,5.5,1.14,5.67,1.17,5.8,1.2,5.36,1.15
24,Barcelona,Barcelona Open,18/04/2023,ATP500,Outdoor,Clay,1st Round,3,Goffin D.,Lopez F.,99,593,595,55,7,6,6,7,6,0,,,,,2,1,Completed,1.14,5.5,1.19,5.34,1.19,6,1.17,5.14
