ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
50,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2023,ATP250,Outdoor,Hard,1st Round,3,Huesler M.A.,Shevchenko A.,87,84,689,699,6,3,4,6,4,0,,,,,1,1,Retired,2.2,1.67,2.09,1.81,2.32,1.83,2.11,1.72
50,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2023,ATP250,Outdoor,Hard,1st Round,3,Zhang Zh.,Ivashka I.,67,99,815,591,4,6,7,6,6,2,,,,,2,1,Completed,1.8,2,1.85,2.04,1.88,2.09,1.81,1.98
50,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2023,ATP250,Outdoor,Hard,1st Round,3,Cerundolo J.M.,Safiullin R.,100,61,591,857,7,6,3,6,6,3,,,,,2,1,Completed,6,1.13,6.28,1.15,6.74,1.15,5.91,1.13
50,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2023,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Muller A.,101,85,590,697,6,4,6,4,,,,,,,2,0,Completed,2.3,1.62,2.12,1.79,2.3,1.82,2.09,1.73
50,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2023,ATP250,Outdoor,Hard,1st Round,3,Galan D.E.,Albot R.,70,105,804,576,6,1,7,5,,,,,,,2,0,Completed,1.73,2.1,1.79,2.13,1.8,2.21,1.73,2.09
50,Winston-Salem,Winston-Salem Open at Wake Forest University,20/08/2023,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Varillas J.P.,133,74,465,779,6,3,6,7,6,0,,,,,2,1,Completed,1.3,3.5,1.48,2.83,1.48,3.6,1.32,3.37
50,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2023,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Kubler J.,72,86,795,693,6,1,3,6,7,6,,,,,2,1,Completed,1.36,3.2,1.45,2.96,1.5,3.2,1.42,2.83
50,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2023,ATP250,Outdoor,Hard,1st Round,3,Diaz Acosta F.,Halys Q.,93,69,626,805,4,6,6,2,6,4,,,,,2,1,Completed,4,1.25,3.94,1.29,4.4,1.29,3.91,1.25
50,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2023,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Cecchinato M.,47,109,1013,549,6,4,6,1,,,,,,,2,0,Completed,1.08,8,1.16,6.06,1.16,9.91,1.11,6.77
50,Winston-Salem,Winston-Salem Open at Wake Forest University,21/08/2023,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Borges N.,118,79,526,754,6,3,6,1,,,,,,,2,0,Completed,1.4,3,1.38,3.27,1.44,3.27,1.38,2.99
