ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
60,Basel,Swiss Indoors,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Humbert U.,Kym J.,16,140,2515,421,6,4,6,7,7,5,,,,,2,1,Completed,1.33,3.4,1.37,3.35,1.4,3.4,1.34,3.18
60,Basel,Swiss Indoors,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Arnaldi M.,54,37,980,1355,6,7,6,3,6,2,,,,,2,1,Completed,2.2,1.67,1.93,1.93,2.25,1.94,2.13,1.69
60,Basel,Swiss Indoors,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Fils A.,Altmaier D.,20,82,2090,690,7,6,6,3,,,,,,,2,0,Completed,1.29,3.75,1.28,3.93,1.3,3.94,1.28,3.65
60,Basel,Swiss Indoors,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Mpetshi G.,Duckworth J.,50,69,1026,781,7,6,6,3,,,,,,,2,0,Completed,1.91,1.91,2,1.88,2.01,1.91,1.94,1.84
60,Basel,Swiss Indoors,21/10/2024,ATP500,Indoor,Hard,1st Round,3,Rublev A.,Borges N.,7,33,4150,1446,6,3,6,2,,,,,,,2,0,Completed,1.17,5,1.2,5.04,1.21,5.1,1.18,4.76
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Shapovalov D.,Shang J.,95,47,618,1075,6,1,6,4,,,,,,,2,0,Completed,2,1.8,2.02,1.88,2.06,1.88,1.97,1.81
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Stricker D.,Griekspoor T.,258,35,212,1400,6,4,6,4,,,,,,,2,0,Completed,2.75,1.44,2.85,1.47,2.85,1.5,2.69,1.45
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Bublik A.,67,32,804,1460,3,6,6,4,4,0,,,,,1,1,Retired,1.67,2.2,1.73,2.22,1.74,2.23,1.68,2.15
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Shelton B.,Etcheverry T.,23,36,2010,1375,6,3,6,4,,,,,,,2,0,Completed,1.36,3.2,1.38,3.27,1.38,3.27,1.35,3.1
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Tabilo A.,Cilic M.,21,202,2023,288,7,6,7,6,,,,,,,2,0,Completed,1.73,2.1,1.78,2.14,1.81,2.19,1.73,2.08
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Rune H.,Jarry N.,14,34,2985,1400,6,4,7,6,,,,,,,2,0,Completed,1.3,3.5,1.28,4.06,1.31,4.06,1.26,3.72
60,Basel,Swiss Indoors,22/10/2024,ATP500,Indoor,Hard,1st Round,3,Tsitsipas S.,Cerundolo F.,11,30,3405,1570,6,3,6,7,7,6,,,,,2,1,Completed,1.4,3,1.38,3.26,1.41,3.26,1.37,3.03
60,Basel,Swiss Indoors,23/10/2024,ATP500,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Baez S.,19,26,2130,1725,7,5,6,1,,,,,,,2,0,Completed,1.1,7,1.13,6.97,1.13,7.03,1.11,6.21
60,Basel,Swiss Indoors,23/10/2024,ATP500,Indoor,Hard,1st Round,3,Martinez P.,Lehecka J.,39,28,1320,1605,6,2,6,2,,,,,,,2,0,Completed,5,1.17,5.81,1.17,5.81,1.18,5.08,1.16
60,Basel,Swiss Indoors,23/10/2024,ATP500,Indoor,Hard,1st Round,3,Bautista Agut R.,Ruud C.,45,8,1146,3890,6,3,3,6,6,3,,,,,2,1,Completed,2.75,1.44,2.78,1.5,2.78,1.51,2.65,1.47
60,Basel,Swiss Indoors,23/10/2024,ATP500,Indoor,Hard,1st Round,3,Wawrinka S.,Mannarino A.,169,57,343,929,6,3,3,6,7,5,,,,,2,1,Completed,1.57,2.38,1.65,2.37,1.7,2.4,1.59,2.31
60,Basel,Swiss Indoors,23/10/2024,ATP500,Indoor,Hard,2nd Round,3,Goffin D.,Humbert U.,54,16,980,2515,3,6,6,1,7,6,,,,,2,1,Completed,3.2,1.36,3.34,1.38,3.34,1.38,3.18,1.34
60,Basel,Swiss Indoors,23/10/2024,ATP500,Indoor,Hard,2nd Round,3,Rublev A.,Tabilo A.,7,21,4150,2023,7,6,6,1,,,,,,,2,0,Completed,1.25,4,1.29,4.04,1.29,4.25,1.25,3.88
60,Basel,Swiss Indoors,24/10/2024,ATP500,Indoor,Hard,2nd Round,3,Tsitsipas S.,Van De Zandschulp B.,11,67,3405,804,7,6,7,5,,,,,,,2,0,Completed,1.36,3.2,1.45,2.97,1.45,3.2,1.4,2.89
60,Basel,Swiss Indoors,24/10/2024,ATP500,Indoor,Hard,2nd Round,3,Fils A.,Martinez P.,20,39,2090,1320,7,5,6,3,,,,,,,2,0,Completed,1.2,4.5,1.25,4.63,1.25,4.69,1.21,4.28
60,Basel,Swiss Indoors,24/10/2024,ATP500,Indoor,Hard,2nd Round,3,Shelton B.,Wawrinka S.,23,169,2010,343,7,6,7,5,,,,,,,2,0,Completed,1.33,3.4,1.35,3.52,1.35,3.53,1.32,3.34
60,Basel,Swiss Indoors,24/10/2024,ATP500,Indoor,Hard,2nd Round,3,Shapovalov D.,Bautista Agut R.,95,45,618,1146,6,3,7,6,,,,,,,2,0,Completed,1.62,2.3,1.69,2.3,1.69,2.3,1.65,2.21
60,Basel,Swiss Indoors,24/10/2024,ATP500,Indoor,Hard,2nd Round,3,Rune H.,Stricker D.,14,258,2985,212,6,3,7,6,,,,,,,2,0,Completed,1.4,3,1.39,3.26,1.41,3.3,1.37,3.03
60,Basel,Swiss Indoors,24/10/2024,ATP500,Indoor,Hard,2nd Round,3,Mpetshi G.,Auger-Aliassime F.,50,19,1026,2130,6,1,7,6,,,,,,,2,0,Completed,3.5,1.3,3.84,1.31,3.95,1.33,3.62,1.28
60,Basel,Swiss Indoors,25/10/2024,ATP500,Indoor,Hard,Quarterfinals,3,Fils A.,Tsitsipas S.,20,11,2090,3405,7,6,6,3,,,,,,,2,0,Completed,1.73,2.1,1.77,2.18,1.8,2.2,1.73,2.07
60,Basel,Swiss Indoors,25/10/2024,ATP500,Indoor,Hard,Quarterfinals,3,Shelton B.,Rublev A.,23,7,2010,4150,7,5,6,7,6,4,,,,,2,1,Completed,2.1,1.73,2.16,1.78,2.21,1.78,2.11,1.71
60,Basel,Swiss Indoors,25/10/2024,ATP500,Indoor,Hard,Quarterfinals,3,Rune H.,Goffin D.,14,54,2985,980,6,2,6,4,,,,,,,2,0,Completed,1.36,3.2,1.41,3.16,1.42,3.2,1.36,3.08
60,Basel,Swiss Indoors,25/10/2024,ATP500,Indoor,Hard,Quarterfinals,3,Mpetshi G.,Shapovalov D.,50,95,1026,618,6,7,6,3,7,6,,,,,2,1,Completed,2.5,1.53,2.6,1.56,2.69,1.58,2.5,1.52
60,Basel,Swiss Indoors,26/10/2024,ATP500,Indoor,Hard,Semifinals,3,Shelton B.,Fils A.,23,20,2010,2090,6,3,7,6,,,,,,,2,0,Completed,1.91,1.91,2.05,1.86,2.05,2.01,1.95,1.84
60,Basel,Swiss Indoors,26/10/2024,ATP500,Indoor,Hard,Semifinals,3,Mpetshi G.,Rune H.,50,14,1026,2985,7,6,6,4,,,,,,,2,0,Completed,3.4,1.33,3.8,1.31,3.81,1.36,3.42,1.31
60,Basel,Swiss Indoors,27/10/2024,ATP500,Indoor,Hard,The Final,3,Mpetshi G.,Shelton B.,50,23,1026,2010,6,4,7,6,,,,,,,2,0,Completed,2.75,1.44,2.85,1.49,2.95,1.5,2.76,1.44
