ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
54,Beijing,China Open,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Mannarino A.,Sonego L.,44,50,1184,1081,1,6,6,2,6,3,,,,,2,1,Completed,2.5,1.53,2.46,1.61,2.55,1.61,2.44,1.54
54,Beijing,China Open,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Kotov P.,Zhou Y.,63,446,832,97,1,6,6,3,7,5,,,,,2,1,Completed,1.17,5,1.18,5.62,1.18,6,1.16,5.18
54,Beijing,China Open,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Sinner J.,Jarry N.,1,28,11180,1635,4,6,6,3,6,1,,,,,2,1,Completed,1.05,11,1.05,14.54,1.06,14.54,1.04,10.54
54,Beijing,China Open,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Griekspoor T.,Kecmanovic M.,39,54,1300,945,6,7,6,4,6,3,,,,,2,1,Completed,1.8,2,1.89,2,1.89,2.1,1.8,1.99
54,Beijing,China Open,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Martinez P.,37,42,1345,1207,7,6,6,2,,,,,,,2,0,Completed,1.3,3.5,1.34,3.54,1.34,3.6,1.31,3.4
54,Beijing,China Open,26/09/2024,ATP500,Outdoor,Hard,1st Round,3,Cobolli F.,Bublik A.,32,26,1482,1690,4,6,6,1,7,6,,,,,2,1,Completed,1.91,1.91,1.86,2.04,1.91,2.04,1.85,1.93
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Cerundolo F.,Mensik J.,31,66,1500,797,7,6,6,1,,,,,,,2,0,Completed,2,1.8,2.06,1.84,2.1,1.84,2.01,1.79
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Safiullin R.,Wawrinka S.,69,233,790,243,6,3,6,4,,,,,,,2,0,Completed,1.4,3,1.41,3.11,1.41,3.15,1.38,2.99
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Bu Y.,Shang J.,96,55,584,895,6,7,6,2,6,4,,,,,2,1,Completed,3.5,1.3,2.87,1.47,3.53,1.47,3.1,1.36
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Musetti L.,Bergs Z.,19,74,2355,738,7,5,4,6,6,3,,,,,2,1,Completed,1.62,2.3,1.65,2.36,1.67,2.49,1.6,2.3
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Monfils G.,5,46,5475,1160,6,3,6,4,,,,,,,2,0,Completed,1.2,4.5,1.24,4.56,1.24,4.75,1.2,4.41
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rinderknech A.,61,60,841,843,6,3,6,4,,,,,,,2,0,Completed,1.67,2.2,1.78,2.14,1.78,2.2,1.71,2.1
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Carballes Baena R.,27,53,1680,955,6,4,6,4,,,,,,,2,0,Completed,1.33,3.4,1.4,3.18,1.4,3.5,1.34,3.22
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Alcaraz C.,Mpetshi G.,3,51,6690,1073,6,4,6,4,,,,,,,2,0,Completed,1.06,10,1.07,11.84,1.08,11.84,1.06,8.93
54,Beijing,China Open,27/09/2024,ATP500,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Zhang Zh.,64,43,820,1205,6,3,4,6,6,3,,,,,2,1,Completed,2.2,1.67,2.28,1.69,2.29,1.73,2.19,1.66
