ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2024,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Prizmic D.,133,171,498,361,6,4,6,7,6,1,,,,,2,1,Completed,1.67,2.2,1.74,2.21,1.74,2.31,1.67,2.17
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2024,ATP500,Indoor,Hard,1st Round,3,Raonic M.,De Jong J.,309,141,175,463,7,6,6,4,,,,,,,2,0,Completed,1.67,2.2,1.68,2.31,1.75,2.31,1.65,2.21
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2024,ATP500,Indoor,Hard,1st Round,3,Griekspoor T.,Musetti L.,29,26,1420,1480,3,6,7,6,7,6,,,,,2,1,Completed,1.44,2.75,1.44,2.81,1.5,2.81,1.44,2.72
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2024,ATP500,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Cressy M.,28,170,1460,368,7,6,7,6,,,,,,,2,0,Completed,1.29,3.75,1.29,3.9,1.33,3.9,1.3,3.46
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2024,ATP500,Indoor,Hard,1st Round,3,Bublik A.,Coric B.,23,31,1699,1274,6,3,6,4,,,,,,,2,0,Completed,1.91,1.91,1.96,1.93,1.96,2.05,1.86,1.92
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2024,ATP500,Indoor,Hard,1st Round,3,Shevchenko A.,Zhang Zh.,57,47,920,991,4,6,6,4,6,3,,,,,2,1,Completed,1.91,1.91,1.95,1.93,1.96,1.93,1.9,1.88
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2024,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,,,,,,,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2024,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Korda S.,11,33,2970,1245,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.51,2.72,1.53,2.75,1.5,2.54
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2024,ATP500,Indoor,Hard,1st Round,3,Struff J.L.,Davidovich Fokina A.,25,24,1526,1575,4,6,7,6,7,6,,,,,2,1,Completed,2.3,1.62,2.33,1.67,2.33,1.72,2.24,1.63
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2024,ATP500,Indoor,Hard,1st Round,3,Rublev A.,Bergs Z.,5,132,5050,499,7,5,6,3,,,,,,,2,0,Completed,1.17,5,1.18,5.48,1.18,5.48,1.17,4.96
